month,date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,day,nat_region,flag_ind,pcp_ideam,pcp_ideam_flag,na_count_ideam,chirpv2,chirpv3,chirpsv2,chirpsv3_era5,chirpsv3_imerg,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,pentad_id,factor,pcp_ideam_flag_scale
01,2001-01-24,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,24,Caribe,Preliminar,0,0,0,1.06856632232666,1.06856632232666,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,5,1.10000002384186,0
01,2001-01-25,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,25,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,5,1.10000002384186,0
01,2001-01-26,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,26,Caribe,Preliminar,0,0,0,1.56764042377472,1.56764042377472,3.33897256851196,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2001-01-27,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,27,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2001-01-28,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,28,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2001-01-29,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,29,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2001-01-30,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,30,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2001-01-31,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2001,31,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2004-01-30,25027410,0,Preliminar,REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2004,30,Caribe,Preliminar,0,0,0,0.258372843265533,0.258372843265533,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2004-01-31,25027410,0,Preliminar,REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2004,31,Caribe,Preliminar,0,0,0,0.258372843265533,0.258372843265533,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2007-01-29,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2007,29,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2007-01-30,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2007,30,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2007-01-31,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2007,31,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2010-01-29,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2010,29,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2010-01-30,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2010,30,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2010-01-31,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2010,31,Caribe,Preliminar,0,0,0,0,0,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2013-01-29,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2013,29,Caribe,Preliminar,0,0,0,0.23129415512085,0.23129415512085,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
01,2013-01-30,25027410,,"",REGIDOR [25027410],Limnimétrica,Convencional,Activa,Bolívar,Regidor,8.6663,-73.8208,35,4/15/1973,,Magdalena,Magdalena Cauca,Bajo Magdalena,Directos Bajo Magdalena entre El Banco y El Plato,2013,30,Caribe,Preliminar,0,0,0,0.426518857479095,0.426518857479095,0,0,0,1.25818181037903,2.02181816101074,2,3,0.561594188213348,0.568840563297272,1,1,6,1.10000002384186,0
