date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,month,day,nat_region,flag_ind,pcp_ideam,p_na,p_sd,p_sd_q,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,kge_chirp_v2,r_chirp_v2,B_chirp_v2,G_chirp_v2,kge_chirp_v3,r_chirp_v3,B_chirp_v3,G_chirp_v3,kge_chirp_v3_scale,r_chirp_v3_scale,B_chirp_v3_scale,G_chirp_v3_scale,kge_chirps_v2,r_chirps_v2,B_chirps_v2,G_chirps_v2,kge_chirps_v3_era5,r_chirps_v3_era5,B_chirps_v3_era5,G_chirps_v3_era5,kge_chirps_v3_imerg,r_chirps_v3_imerg,B_chirps_v3_imerg,G_chirps_v3_imerg,kge_chirps_v3_era5_scale,r_chirps_v3_era5_scale,B_chirps_v3_era5_scale,G_chirps_v3_era5_scale,kge_chirps_v3_imerg_scale,r_chirps_v3_imerg_scale,B_chirps_v3_imerg_scale,G_chirps_v3_imerg_scale,rmse_chirpv2,rmse_chirpv3,rmse_chirpsv2,rmse_chirpsv3_era5,rmse_chirpsv3_imerg
1/1/1990,52050080,8,Definitivo,TANGUA [52050080],Pluviométrica,Convencional,Activa,Nariño,Tangua,1.0942,-77.392,2420,1/15/1957,"",Caqueta,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Definitivo,8,0.753,3.285,1.505,53.303,0,46.697,1.0942,-77.392,6.32363653182983,6.93090915679932,8,8,0.862318813800812,0.949275374412537,1,1,0.078282351101719,0.281537301703774,1.27291680477705,0.49118648493012,0.078282351101719,0.281537301703774,1.27291680477705,0.49118648493012,0.092199450300848,0.281899686087635,1.22318906458829,0.491452638743203,0.151649796377649,0.183103835057212,1.22289647514936,1.05192191304105,0.305964528109936,0.432135305339916,1.05424513761624,0.604686972330447,0.280279151925282,0.303900869614153,1.05061606778007,0.824266925389835,0.30835466285648,0.432382819407291,1.01306002001711,0.605014627403103,0.28229326101565,0.30409340371965,1.00957272334417,0.824713561834285,6.38298265506514,6.38298265506514,9.2094356583226,5.75293120527716,6.879486321279
1/1/1990,52050090,2,Definitivo,IMUES [52050090],Pluviométrica,Convencional,Activa,Nariño,Imués,1.0553,-77.4996,2550,1/15/1957,"",Caqueta,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Definitivo,2,1.469,4.659,3.154,35.981,8.458,55.561,1.0553,-77.4996,6.32363653182983,6.93090915679932,8,8,0.847826063632965,0.95652174949646,1,1,0.0936104263827102,0.291058346137563,1.22816664124707,0.483392049613098,0.0936104263827102,0.291058346137563,1.22816664124707,0.483392049613098,0.10474490057334,0.291252611966261,1.17976241039155,0.483430247870618,0.173632718868271,0.184857759097915,1.10610981224773,1.08465647150056,0.322411725493311,0.439020872482605,1.09622697841515,0.632347097299825,0.308307934890621,0.325199140306727,1.09622697836483,0.882432651951012,0.327287633039116,0.439109099361064,1.05302272424377,0.632397066175573,0.313010452103144,0.325212967214201,1.05302272419543,0.88250238290689,6.18379958351752,6.18379958351752,8.66569133846258,5.73041523604608,7.01255434672308
1/1/1990,52050100,"","",GUALMATAN [52050100],Pluviométrica,Convencional,Activa,Nariño,Gualmatán,0.9067,-77.5814,2830,7/15/1972,"",Vaupes,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Preliminar,0,0.812,3.452,1.828,60.327,5.77,33.903,0.9067,-77.5814,3.98909091949463,4.85454559326172,5,5,0.85869562625885,0.971014499664307,1,1,0.123323763030265,0.254265199026642,1.13565537137526,0.559502041660033,0.123323763030265,0.254265199026642,1.13565537137526,0.559502041660033,0.129403114426172,0.254143395848238,1.08668934137505,0.559407420278088,0.179491640556158,0.213872593771706,0.993583026254573,1.2349393358762,0.334238963348575,0.411296199893659,1.01318447153812,0.689368766261675,0.32297214889135,0.325095538627597,1.01291824251257,1.05199805964466,0.333808227569431,0.411512989599315,0.969499016883855,0.68925218219142,0.322606754529528,0.325292384753804,0.969244266849892,1.05182014874748,5.22088737022811,5.22088737022811,7.05128788225808,4.78821843606449,6.01786661384092
1/1/1990,52050110,"","",CUMBAL [52050110],Pluviométrica,Convencional,Activa,Nariño,Cumbal,0.908,-77.7871,392,1/15/1958,"",Qda La Mosca,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Preliminar,0,0.036,1.84,0.227,44.021,10.393,45.586,0.908,-77.7871,1.66545450687408,1.93818187713623,2,2,0.844202876091003,0.971014499664307,1,1,0.0276395855083557,0.298805030403753,1.4082047665592,0.464108911399309,0.0276395855083557,0.298805030403753,1.4082047665592,0.464108911399309,0.0512981693448507,0.298493576711811,1.34727283002718,0.463972497814938,0.141188852544348,0.22125908940722,1.3282373412821,1.15290333204767,0.291564272976064,0.39960255205528,1.16691949704124,0.663040113169389,0.321251884738028,0.345687530301788,1.16686256782985,0.931217157471253,0.301747733671612,0.399727180678489,1.11642778843453,0.662845228571835,0.331892163298254,0.345739712349485,1.1163733225063,0.930943448720658,4.91451544050486,4.91451544050486,7.77403539475608,4.70618915602842,5.67702216499993
1/1/1990,52050120,0,Definitivo,PUERRES [52050120],Pluviométrica,Convencional,Activa,Nariño,Puerres,0.8883,-77.5029,2817,8/15/1971,"",Guamues,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Definitivo,0,0.06,1.78,0.119,99.928,0.012,0.06,0.8883,-77.5029,3.98909091949463,4.85454559326172,5,5,0.89130437374115,0.963768124580383,1,1,0.0731161562740281,0.216455970222281,1.18130198347219,0.539237584053372,0.0731161562740281,0.216455970222281,1.18130198347219,0.539237584053372,0.081609886128532,0.216422783562254,1.13031841074632,0.539061545369583,0.1436247693521,0.173769211202367,1.09395181387541,1.20468091259227,0.245674535847892,0.340665064592455,1.00863208742943,0.63365339378393,0.253841007266204,0.256336819172734,1.00828363012804,0.939587274591465,0.244821500656076,0.340670671977815,0.965100739727831,0.633446532258103,0.252919420626342,0.256225035770088,0.964767321424449,0.939280538354942,5.98034003704642,5.98034003704642,8.46382942650231,5.52787484841237,6.65861909555048
1/1/1990,52050130,"","",CHILES [52050130],Pluviométrica,Convencional,Activa,Nariño,Cumbal,0.8117,-77.8483,3100,7/15/1972,"",Sucio,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Preliminar,0,1.828,5.4,3.942,45.275,11.038,43.687,0.8117,-77.8483,1.66545450687408,1.93818187713623,2,2,0.822463750839233,0.967391312122345,1,1,0.166099484265003,0.320207266185069,0.998481049393713,0.517020081178759,0.166099484265003,0.320207266185069,0.998481049393713,0.517020081178759,0.16478601326395,0.320108565141711,0.955479829409709,0.516938932580492,0.131641409582743,0.196923043142746,0.935095681798008,1.32388496784363,0.344722059652882,0.414809364296815,1.00788487037592,0.705247683961572,0.342592229891353,0.342649722700234,1.00869358644291,1.00010338232065,0.34383211312705,0.414892884367885,0.964478659455945,0.705136992204968,0.341739967825074,0.342657713526444,0.965252546842387,0.999946411652488,5.41793806190365,5.41793806190365,8.01126150021428,5.35877752442294,6.44989229279551
1/1/1990,52050140,17.4,Definitivo,VIVERO LINARES [52050140],Pluviométrica,Convencional,Activa,Nariño,Linares,1.3481,-77.5261,1480,4/15/1980,"",Cudayari,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Definitivo,17.4,0.502,2.807,1.003,53.96,0.012,46.028,1.3481,-77.5261,2.67636370658875,2.8327271938324,3,3,0.887681186199188,0.960144937038422,1,1,0.0775251947845485,0.261744428848464,1.15395305897536,0.468740239098486,0.0775251947845485,0.261744428848464,1.15395305897536,0.468740239098486,0.0834573455300961,0.261969118757658,1.11454729789578,0.468737567354734,0.168537446175499,0.176828496209296,1.00811725250679,1.11684504256087,0.282175763705036,0.421017996521053,1.10444558053628,0.588730508587868,0.276526464598161,0.306237937917647,1.10392132042059,0.823057871596055,0.286784375319823,0.421140584535851,1.0667304253716,0.588727152918936,0.281114047194169,0.306385403150022,1.06622406795022,0.823053180298952,7.73979814126254,7.73979814126254,10.5075427262653,7.19899718284035,8.66483434155832
1/1/1990,52050190,"","",SANTA ROSA POTOSI [52050190],Pluviométrica,Convencional,Activa,Nariño,Potosí,0.8163,-77.5685,2746,6/15/1995,"",Sucio,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Preliminar,"",0.442,2.604,0.896,41.644,0,58.356,0.8163,-77.5685,3.98909091949463,4.85454559326172,5,5,0.971014499664307,0.996376812458038,1,1,0.0762903483604834,0.230573800880409,1.1588312929666,0.51420635552229,0.0762903483604834,0.230573800880409,1.1588312929666,0.51420635552229,0.0833724087019929,0.230460461916144,1.10887969933234,0.514036779655321,0.123197436816998,0.1453785863007,1.05001277817728,1.18948270651931,0.244558289559672,0.351065490523286,1.03259867726753,0.614625498347864,0.242132131578883,0.243834698341952,1.0328299821761,0.961271007967187,0.245082690622873,0.351086689658205,0.988088359133045,0.614422806081181,0.242728910062715,0.243826574028325,0.988309693609448,0.960953998340959,5.72698542236855,5.72698542236855,8.14475957464836,5.37625512714499,6.73333935984608
1/1/1990,52055030,7.8,Definitivo,BOMBONA [52055030],Climática Ordinaria,Convencional,Activa,Nariño,Consacá,1.1844,-77.4651,1493,9/15/1968,"",Siguinchica,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Definitivo,7.8,0.49,2.855,0.992,49.492,0,50.508,1.1844,-77.4651,6.32363653182983,6.93090915679932,8,8,0.818840563297272,0.818840563297272,1,1,0.0905240605343628,0.26684278527994,1.22031506326808,0.508992611187971,0.0905240605343628,0.26684278527994,1.22031506326808,0.508992611187971,0.100977936764181,0.266887947316974,1.17226126030515,0.508966959773837,0.167028140842113,0.184329736777304,1.09965970353037,1.13635278998027,0.292986497415284,0.384246941529331,1.06083489829911,0.657924892793903,0.270537067839379,0.27941102368466,1.06035031400939,0.903950345090946,0.295550296008613,0.384493709166815,1.0190611361671,0.657891735723402,0.272968030564966,0.279586648205833,1.01859563393142,0.903904789214204,6.36814267687427,6.36814267687427,8.94856652779472,6.01942088673679,7.25912689254476
1/1/1990,52055060,4.8,Definitivo,TANAMA [52055060],Climática Ordinaria,Convencional,Activa,Nariño,Samaniego,1.3736,-77.5831,1500,6/15/1972,"",Pasto,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Definitivo,4.8,0.8,3.44,2.15,35.3,17.943,46.757,1.3736,-77.5831,2.67636370658875,2.8327271938324,3,3,0.887681186199188,0.909420311450958,1,1,0.0858552554608415,0.294968947497347,1.22478418374109,0.463284153657249,0.0858552554608415,0.294968947497347,1.22478418374109,0.463284153657249,0.0952409976882077,0.295124146002707,1.18314241030096,0.463159483398495,0.164812155344344,0.191217327481442,1.14484535261766,1.14976364151344,0.307758735144208,0.438780812014845,1.04734781407066,0.597521210112682,0.29983796670632,0.311465600032467,1.04671403340464,0.881826178828135,0.309324968953933,0.438951369211163,1.01173874843647,0.597360416519187,0.30153815480161,0.311738453682224,1.01112651585317,0.881588878465016,8.31427517534296,8.31427517534296,12.4367569809909,7.63971696023898,9.40486078270227
1/1/1990,52055090,2.2,Definitivo,SINDAGUA [52055090],Climática Principal,Convencional,Activa,Nariño,Tangua,1.1076,-77.3894,2800,7/15/1987,"",Putumayo,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Definitivo,2.2,2.437,6.546,5.483,45.598,16.163,38.239,1.1076,-77.3894,6.32363653182983,6.93090915679932,8,8,0.800724625587463,0.963768124580383,1,1,0.119153834967163,0.30600621500893,1.30790111343432,0.553391113844863,0.119153834967163,0.30600621500893,1.30790111343432,0.553391113844863,0.135843042894557,0.306148705455551,1.25657722119024,0.553339326625877,0.101870064403304,0.191389977700904,1.31510128806717,1.2312971926133,0.36833048873979,0.454261721908042,1.07181170839299,0.690130379322824,0.32056748816686,0.325345011751537,1.0711797152767,0.962548256375931,0.371711213434546,0.454287265016859,1.02975229880731,0.69006579582629,0.323683953464277,0.325355968441217,1.02914510599608,0.962458179581978,5.57487338742273,5.57487338742273,9.2275680475366,4.96478077778451,6.26024936856773
1/1/1990,52055210,2.2,Definitivo,BOTANA - AUT [52055210],Climática Principal,Automática con Telemetría,Activa,Nariño,Pasto,1.16,-77.2788,2820,3/1/2004,"",Hacha,Pacifico,Patía,Río Juananbú,1990,1,1,Andes,Definitivo,2.2,1.147,4.289,2.927,59.204,19.615,21.18,1.16,-77.2788,6.32363653182983,6.93090915679932,8,8,0.731884062290192,0.768115937709808,1,1,0.171572998566217,0.253250376082412,0.992407110014775,0.641393469237965,0.171572998566217,0.253250376082412,0.992407110014775,0.641393469237965,0.170495634268724,0.253422294592781,0.953613034726755,0.641464824586376,0.156863263021512,0.198671213044362,0.916005406093189,1.24838808472503,0.336108381952835,0.41080739313933,0.997723799670944,0.694060510155892,0.315820616662967,0.319966347999939,0.997660197399506,0.924832280500919,0.334934015815775,0.410884434471663,0.958721890262508,0.694137724739288,0.314561082162879,0.319939083918244,0.958660774260345,0.924935168560685,5.25754577437678,5.25754577437678,6.88210049169446,4.82138571907899,5.6734704117388
1/1/1990,52055220,2.3,Definitivo,EL PARAISO - AUT [52055220],Climática Principal,Automática con Telemetría,Activa,Nariño,Túquerres,1.0706,-77.6369,3120,3/1/2004,"",Guaitara,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Definitivo,2.3,0.848,3.524,1.828,51.463,1.708,46.828,1.0706,-77.6369,1.78909087181091,2.14545464515686,3,4,0.717391312122345,0.721014499664307,1,1,0.141992027896924,0.315177447437215,1.20368513890394,0.524912517652268,0.141992027896924,0.315177447437215,1.20368513890394,0.524912517652268,0.151049570815089,0.315510543504266,1.16326213089343,0.525093175690688,0.213835624580896,0.24502938449798,1.11671394927643,1.18561155392623,0.358693943688272,0.445290154664566,1.06200970582492,0.68420696376654,0.365037974291782,0.372982902841548,1.06259971510147,0.921848802749493,0.361254404996642,0.445270038469837,1.02634454268691,0.684442445839819,0.367664417556788,0.373050428185776,1.0269147378535,0.922166073515237,5.60902116427011,5.60902116427011,8.09728211190416,5.23777612752684,6.18543730821754
1/1/1990,52055230,0.1,Definitivo,AEROPUERTO SAN LUIS - AUT [52055230],Sinóptica Principal,Automática con Telemetría,Activa,Nariño,Aldana,0.8571,-77.6778,2961,11/6/1997,"",Vaupes,Pacifico,Patía,Río Guáitara,1990,1,1,Andes,Definitivo,0.1,0.119,2.091,0.765,66.217,26.09,7.693,0.8571,-77.6778,3.98909091949463,4.85454559326172,5,5,0.942028999328613,1,1,1,0.100022466568095,0.296822912800338,1.18224839682378,0.468693058040143,0.100022466568095,0.296822912800338,1.18224839682378,0.468693058040143,0.108698187053006,0.296616513731475,1.13101603001414,0.468487636186452,0.192178026482326,0.219317738302516,1.03857687305955,1.20401806791027,0.333249577280611,0.432167813984945,1.04381386202559,0.653296841352361,0.353561718673962,0.357550253035065,1.04206270956852,0.94193535798606,0.334661121294051,0.432309853436457,0.998580512753173,0.653010510147196,0.354897243362686,0.357560607139577,0.99690524594354,0.941522520407232,4.97491255700879,4.97491255700879,7.11280456080216,4.68937919868555,5.62821252014102
