gauge_code,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,nat_region,flag_ind,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,map
12010060,,LORENA LA [12010060],Pluviométrica,Convencional,Activa,Antioquia,Apartadó,7.8631,-76.6892,10,7/15/1976,,Magdalena,Caribe,Caribe - Litoral,Río León,Caribe,Preliminar,0,0,100,7.8631,-76.6892,7.71272707,11.05818176,10,13,2177.219551
12010070,Definitivo,CASCO EL [12010070],Pluviométrica,Convencional,Activa,Antioquia,Apartadó,7.8844,-76.6478,18,7/15/1977,,Lebrija,Caribe,Caribe - Litoral,Río León,Caribe,Definitivo,99.701,0,0.299,7.8844,-76.6478,7.71272707,11.05818176,10,13,2697.197731
12010090,,TRIGANA [12010090],Pluviométrica,Convencional,Activa,Antioquia,Carepa,7.7477,-76.7119,4,6/15/1977,,Embalse,Caribe,Caribe - Litoral,Río León,Caribe,Preliminar,66.85,0,33.15,7.7477,-76.7119,1.778181791,2.861818075,3,5,3239.548776
12010100,Definitivo,EUPOL [12010100],Pluviométrica,Convencional,Activa,Antioquia,Turbo,7.9455,-76.6174,10,7/15/1977,,El Zulia,Caribe,Caribe - Litoral,Río León,Caribe,Definitivo,22.709,0,77.291,7.9455,-76.6174,7.71272707,11.05818176,10,13,2752.383861
12010110,,PRADO MAR [12010110],Pluviométrica,Convencional,Activa,Antioquia,Turbo,7.9874,-76.6385,5,7/15/1977,,Anchicaya,Caribe,Caribe - Litoral,Río Mulatos y otros directos al Caribe,Caribe,Preliminar,69.275,0,30.725,7.9874,-76.6385,7.71272707,11.05818176,10,13,2279.958679
12010120,,SANTA MARTHA [12010120],Pluviométrica,Convencional,Activa,Antioquia,Turbo,7.9238,-76.6491,130,7/15/1977,,Peralonso,Caribe,Caribe - Litoral,Río León,Caribe,Preliminar,38.383,0,61.617,7.9238,-76.6491,7.71272707,11.05818176,10,13,2800.993393
12015020,Definitivo,UNIBAN [12015020],Agrometeorológica,Convencional,Activa,Antioquia,Apartadó,7.8259,-76.6513,43,8/15/1977,,Zungo,Caribe,Caribe - Litoral,Río León,Caribe,Definitivo,63.35,0,36.65,7.8259,-76.6513,7.71272707,11.05818176,10,13,2927.05802
12020010,,PUEBLO BELLO [12020010],Pluviométrica,Convencional,Activa,Antioquia,Turbo,8.2,-76.52,10,4/15/1972,,0,Caribe,Caribe - Litoral,Río Mulatos y otros directos al Caribe,Caribe,Preliminar,42.54,0,57.46,8.2,-76.52,1.050909042,1.25090909,2,2,1694.346605
12030010,,SAN JUAN DE URABA [12030010],Pluviométrica,Convencional,Activa,Antioquia,San Juan De Urabá,8.7552,-76.5331,4,4/15/1972,,San Juan D Uraba,Caribe,Caribe - Litoral,Río Mulatos y otros directos al Caribe,Caribe,Preliminar,42.719,10.166,47.115,8.7552,-76.5331,0.767272711,0.920000017,1,1,2199.953121
12030020,Definitivo,CARMELO EL [12030020],Pluviométrica,Convencional,Activa,Antioquia,Arboletes,8.62,-76.38,50,3/15/1972,,0,Caribe,Caribe - Litoral,Río San Juan,Caribe,Definitivo,36.28,6.749,56.97,8.62,-76.38,0.538181841,0.792727292,1,1,1339.296748
