date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,month,day,nat_region,flag_ind,pcp_ideam,p_na,p_sd,p_sd_q,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,kge_chirp_v2,r_chirp_v2,B_chirp_v2,G_chirp_v2,kge_chirp_v3,r_chirp_v3,B_chirp_v3,G_chirp_v3,kge_chirps_v2,r_chirps_v2,B_chirps_v2,G_chirps_v2,kge_chirps_v3,r_chirps_v3,B_chirps_v3,G_chirps_v3,rmse_chirpv2,rmse_chirpv3,rmse_chirpsv2,rmse_chirpsv3
1/1/1990,15070090,"","",PERPANA [15070090],Pluviométrica,Convencional,Activa,La Guajira,Uribia,12.0886,-71.8193,65,7/15/1971,"",Cno Cicuco,Caribe,Caribe - Guajira,Directos Caribe - Ay.Sharimahana Alta Guajira,1990,1,1,Caribe,Preliminar,0,1.087,3.13,2.497,9.222,0,90.778,12.0886,-71.8193,1.43272721767426,2.30909085273743,3,3,0.35704788867696,0.840615881736708,0.700186023986215,0.454018589980398,0.521227487725599,0.84811489548574,0.914949981154541,0.553994923985589,0.54750100393011,0.776595546114963,0.836730418100876,0.641965315849049,0.615000830363502,0.864632344978257,1.08853682045437,0.650627433792322,199.614379773612,152.550346980321,167.785708145882,128.286635619249
1/1/1990,15070140,"","",MAYAPO [15070140],Pluviométrica,Convencional,Activa,La Guajira,Manaure,11.6503,-72.7868,3,8/15/1971,"",Cno Cicuco,Caribe,Caribe - Guajira,Directos Caribe - Ay.Sharimahana Alta Guajira,1990,1,1,Caribe,Preliminar,0,0.382,2.353,0.765,11.396,0,88.604,11.6503,-72.7868,1.36727273464203,1.73818182945251,2,2,0.34908143744157,0.676543664399874,0.959568365453048,0.436585182151611,0.371177492886769,0.716641103009894,0.97827441643845,0.439060181509968,0.581203230338067,0.889900260970127,0.942789958705393,0.600005258884703,0.580419386251297,0.903884068468154,1.05685826603097,0.595553765348897,245.222002428579,236.760345583754,176.869151238586,160.861832209151
1/1/1990,15070160,"","",ESCUELA CEURA [15070160],Pluviométrica,Convencional,Activa,La Guajira,Maicao,11.4378,-72.47,85,6/15/1971,"",Carraipia,Caribe,Caribe - Guajira,Directos Caribe - Ay.Sharimahana Alta Guajira,1990,1,1,Caribe,Preliminar,0,0.048,1.911,0.526,10.692,0,89.308,11.4378,-72.47,1.06909096240997,1.33090913295746,2,2,0.433061400773318,0.799013706653284,1.21730747807528,0.516469912877782,0.467605719958534,0.8179475942383,1.1743764989373,0.531072044344105,0.628206090965496,0.765316899658494,1.15601768871225,0.757486012737112,0.572210914380836,0.732666078750525,1.22776488965499,0.755747607248747,129.243103786886,118.851947708097,122.816071976195,142.923162264001
1/1/1990,15070190,"","",CAIMITO [15070190],Pluviométrica,Convencional,Activa,La Guajira,Uribia,12.2691,-71.5128,100,4/15/1978,"",Calenturitas,Caribe,Caribe - Guajira,"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",1990,1,1,Caribe,Preliminar,0,0.394,2.162,1.123,13.236,21.825,64.938,12.2691,-71.5128,1.03999996185303,1.60363638401032,2,2,0.422337433868664,0.884163131294261,0.66340735086887,0.545048080882411,0.691468041804116,0.890096074929886,0.85737173723795,0.749460032841366,0.736452792013634,0.919337423047168,0.849360153258959,0.799355249033091,0.806092419814028,0.948711472191436,1.03873435241854,0.817053869919242,193.383293310222,127.628152687352,116.354485529287,77.2889057516429
1/1/1990,15070240,"","",OROCHON [15070240],Pluviométrica,Convencional,Activa,La Guajira,Uribia,11.8116,-72.1906,100,6/15/1976,"",Cno Cicuco,Caribe,Caribe - Guajira,Directos Caribe - Ay.Sharimahana Alta Guajira,1990,1,1,Caribe,Preliminar,0,0.012,1.553,0.669,5.28,2.7,92.02,11.8116,-72.1906,0.479999989271164,0.829090893268585,1,1,0.110407227279936,0.401939578767237,0.62113415480693,0.461335257161931,0.271368994109783,0.445872292558464,0.789917602654167,0.576076642639729,0.380112612678384,0.603997918619199,0.662457961913415,0.663090372611812,0.528854948749334,0.676627794431032,0.867361207320924,0.684064837885855,288.127889849945,256.18851865693,254.699922368212,207.948291909366
1/1/1990,15075501,0,Definitivo,AEROPUERTO PUERTO BOLIVAR  - AUT [15075501],Climática Principal,Automática con Telemetría,Activa,La Guajira,Uribia,12.2243,-71.9829,10,8/20/2014 19:00,"",0,Caribe,Caribe - Guajira,Directos Caribe - Ay.Sharimahana Alta Guajira,1990,1,1,Caribe,Definitivo,0,3.405,7.92,7.12,72.022,0,27.978,12.2243,-71.9829,1.43272721767426,2.30909085273743,3,3,0.466925255482771,0.751997541932223,0.98917634942658,0.528251854669555,0.584961220542638,0.699428888603453,1.04883212755504,0.717990037825347,0.641918338476518,0.825280003304777,1.19157542522275,0.753029848919022,0.608756008919896,0.783424952877906,1.25596112979245,0.798379044849683,114.439344522004,117.957083892496,102.009182456174,121.245135367167
1/1/1990,15080010,"","",PUERTO ESTRELLA [15080010],Pluviométrica,Convencional,Activa,La Guajira,Uribia,12.3453,-71.312,5,7/15/1971,"",Calenturitas,Caribe,Caribe - Guajira,"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",1990,1,1,Caribe,Preliminar,0,1.971,4.993,4.372,2.688,0,97.312,12.3453,-71.312,1.02181816101074,1.61818182468414,2,2,0.323726984885862,0.775111145228619,0.993233781448042,0.362250509794252,0.540813754982844,0.803761251118264,1.14176300375318,0.609813362841367,0.463118489643499,0.831076520316406,1.2982022038813,0.586742138883484,0.493774918814842,0.80237823118248,1.31753157712577,0.65885022814257,114.891435586107,95.2084212014346,100.104908946571,107.062280805254
1/1/1990,15080040,"","",SIAPANA [15080040],Pluviométrica,Convencional,Activa,La Guajira,Uribia,12.0695,-71.3185,145,7/15/1971,"",Cno Cicuco,Caribe,Caribe - Guajira,"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",1990,1,1,Caribe,Preliminar,0,0.012,1.362,0.275,3.345,0,96.655,12.0695,-71.3185,1.57454550266266,2.22181820869446,3,3,0.148653297003517,0.625241980434693,0.767822341502791,0.271686077045603,0.261525074569619,0.616377483615074,1.19973401970905,0.401430620744121,0.361043524889112,0.738853888389167,0.974145360171529,0.417419856950125,0.262019241191354,0.653963726542865,1.37315163682572,0.465554161997712,227.881179842245,205.340999749967,189.03747256012,206.096381721116
1/1/1990,15080070,"","",SILLAMANA [15080070],Pluviométrica,Convencional,Activa,La Guajira,Uribia,11.8994,-71.5159,115,7/15/1971,"",Cno Cicuco,Caribe,Caribe - Guajira,"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",1990,1,1,Caribe,Preliminar,0,1.864,4.719,3.727,28.527,0,71.473,11.8994,-71.5159,0.592727243900299,0.909090936183929,1,1,0.419309353431773,0.718473389407166,0.997066189225,0.492126209285936,0.604981493223742,0.731935684461954,0.965272303596924,0.71194595900526,0.689848182554309,0.866042121307293,1.16135762596277,0.771498023761997,0.796764061646002,0.859006157860494,1.1034983809213,0.896493148709669,92.6915119283898,86.7152158803541,70.1235519021718,69.5965544287685
1/1/1990,15080090,"","",PUERTO LOPEZ [15080090],Pluviométrica,Convencional,Activa,La Guajira,Uribia,11.9343,-71.2825,2,9/15/1937,"",Cno Cicuco,Caribe,Caribe - Guajira,"Río Carraipia - Paraguachon, Directos al Golfo Maracaibo",1990,1,1,Caribe,Preliminar,0,0.741,2.533,1.887,2.783,0,97.217,11.9343,-71.2825,0.505454540252686,0.829090893268585,1,1,0.191346785333136,0.778542943382146,1.2535610189376,0.264756092619236,0.397709963221067,0.812065426899696,1.13019860975449,0.44279069762362,0.238659838443322,0.885319269096882,1.49254687771606,0.430891271538698,0.412443024347098,0.852940010682414,1.28839571576697,0.509669019633112,141.167463285702,118.238257651056,119.36980870631,107.759025280121
